"","Scenario","Time","Replicate","AGB_M","SRR_M","Min_rate_M","Fungi_M","GF_M","Lichen_M","Aesthetic_M","Recreation_M","Fungi_val_M","Carbon_stock_M","Nitrogen_stock_M","Timber_M","Tree_richness_M"
"388","Scenario 2",33,1,94.2072207056042,4.05864846995237,23.5503813859057,1.86005912385639,17.9459416180571,28.2883109251104,3.78277014934786,3.35082842257648,0.448399920798777,62.2135656396168,523.668798142964,134.120230668147,27.3853002034393
"389","Scenario 2",33,2,94.1669812992297,4.05855697935164,23.5516146314855,1.85989890258032,17.9482808193798,28.2863558775846,3.78266361415079,3.35055130889116,0.448342388798565,62.1888535932256,523.70630140321,134.078596535867,27.4496357218619
"390","Scenario 2",33,3,94.1873100971988,4.05860457185046,23.5508951964614,1.85996215419423,17.9473863643051,28.2871411753497,3.7827106379738,3.3506667605708,0.448386305996832,62.1998538279633,523.688365703952,134.002169570488,27.6130740206221
"391","Scenario 2",34,1,95.1087103597573,4.06074844531698,23.5192180985781,1.86299991609757,17.9042149171604,28.3249165222699,3.78491041949903,3.35619546890866,0.450226978723341,62.7986817217576,523.705459825077,135.24165777199,27.424597033611
"392","Scenario 2",34,2,95.0506712368069,4.06061434259356,23.5211473732913,1.86279644227176,17.9071513916226,28.3224335945198,3.78476749734927,3.35583718838381,0.450120079168129,62.7645263949505,523.723944115039,135.190810714364,27.4416894159378
"393","Scenario 2",34,3,95.0759193893342,4.0606741145632,23.5202072784562,1.86286645489051,17.9061810075682,28.3233133791159,3.78482266734587,3.35596978116233,0.450181765072638,62.779374632679,523.701447549165,135.103259001103,27.5881309662499
"394","Scenario 2",35,1,94.8814311175253,4.06021531652935,23.527334372442,1.86230612635465,17.9138877445615,28.3161057358247,3.7843880042985,3.35488360330743,0.44973042988818,62.867420336979,523.582826763576,135.906250373896,27.4327085253256
"395","Scenario 2",35,2,94.8317285215002,4.0601003233578,23.528997248334,1.86213384515082,17.9163618256164,28.3139867946117,3.78426623082772,3.35457633357886,0.449637706267138,62.8353570012693,523.61110396272,135.863722986089,27.4341865034515
"396","Scenario 2",35,3,94.8636249847855,4.06017502684342,23.5278663612198,1.86223270829751,17.9149867859679,28.3152532162532,3.78434020808216,3.35476479900645,0.449705712897429,62.8539193458643,523.57143502982,135.79641743184,27.3552972474831
"397","Scenario 2",36,1,95.735663247031,4.06220512756706,23.4978103554382,1.86509379281075,17.8743157139171,28.350775253725,3.78641629167864,3.35996664270926,0.451461873858381,63.3678873693728,523.543184782042,137.000776726773,27.4340300116499
"398","Scenario 2",36,2,95.6789271182904,4.06207407785049,23.4996933402297,1.86489434067149,17.8771823264513,28.3483192516233,3.78627617771899,3.3596112195149,0.451358555195961,63.3320267600981,523.563593051764,136.965282673373,27.423127749474
"399","Scenario 2",36,3,95.7078018987672,4.06214183983753,23.4986600664544,1.86498209100012,17.8759645237523,28.3494434991087,3.78634244394482,3.35977864654894,0.451421636486187,63.3510633965676,523.544307176018,136.874695186959,27.3374224061484
"400","Scenario 2",37,1,96.5544055224218,4.06411261168799,23.4694889343473,1.86776123759253,17.8364622106454,28.3839590454776,3.788358675479,3.3648337290549,0.453124949439336,63.8713344403679,523.525661177862,138.072650880065,27.3670341326007
"401","Scenario 2",37,2,96.5346264192937,4.06406789701361,23.4700771125006,1.8676791787454,17.8376489743358,28.3829303296018,3.78830480951157,3.36468753559151,0.453100434280168,63.8543290414008,523.528527586027,138.03294824257,27.4230755855402
"402","Scenario 2",37,3,96.5706582827633,4.06415222073084,23.4688041821733,1.86779169954707,17.8360642659205,28.38433937925,3.78838844072537,3.36489568861462,0.453177562436995,63.8758947157935,523.509919841422,137.967979698622,27.5209003494984
"403","Scenario 2",38,1,97.4209292570117,4.06613174247637,23.4394917286468,1.8705801401624,17.7964424976274,28.4189847419037,3.79041249173014,3.36997208606381,0.454890251016141,64.4084910451914,523.502955956252,139.147981068467,27.4608770496079
"404","Scenario 2",38,2,97.38436907722,4.06604904999196,23.4405817976242,1.87042898653621,17.7986293619132,28.4170922477902,3.79031315620403,3.36970331103442,0.45484440399383,64.385207386413,523.504746048582,139.096454803709,27.4406287492827
"405","Scenario 2",38,3,97.4142576028934,4.066117856334,23.4396060416773,1.87053703030481,17.7970963214699,28.418466467459,3.79038844298639,3.36990262725763,0.454894784046306,64.4043380396794,523.489372467876,139.030829755993,27.5977465180574
"406","Scenario 2",39,1,98.2765589974092,4.06812717498994,23.4097531381603,1.87334185462879,17.7572618104558,28.4532882480918,3.79243197582652,3.37501207935752,0.456652863243785,64.9518255290292,523.462954043574,140.213182045501,27.3933247552642
"407","Scenario 2",39,2,98.2434364295526,4.06805073425856,23.4108477778598,1.87322456155545,17.7589316332625,28.4518138006348,3.79234958877785,3.37479737466018,0.456594251911793,64.9293811097008,523.485303681035,140.176341382645,27.4338648258594
"408","Scenario 2",39,3,98.2530997461355,4.06807374607494,23.410478479452,1.8732496157181,17.7586012173212,28.4521537591717,3.79237020805152,3.37484994294118,0.456618562417759,64.9393465684825,523.447627410408,140.095324789515,27.43182173845
"409","Scenario 2",4,1,76.27959149554,4.01699363111299,24.1626182143754,1.80020069444711,18.7947672701705,27.5386369783989,3.73963455140632,3.24117211020558,0.413422138799566,50.528734242145,513.4827285215,106.544971088637,27.3141312096816
"410","Scenario 2",4,2,76.283384065657,4.01700215482356,24.1625089586721,1.80021707587223,18.7945288470269,27.5388411476167,3.7396451220294,3.24120092983633,0.413426312669179,50.5318132183408,513.48399871329,106.540347400321,27.178400653788
"411","Scenario 2",4,3,76.2788036723409,4.01699171309034,24.1626512691697,1.80019919265668,18.7947887636634,27.5386214630962,3.73963312679674,3.24116975034588,0.413419511069799,50.5287457095164,513.482707655927,106.540144152071,27.2025264731964
"412","Scenario 2",40,1,98.5615903653214,4.06880554880971,23.3988874898977,1.87408586066443,17.7472151948858,28.4629523605349,3.79303948966407,3.37649996553523,0.457380033802081,65.206138034463,523.277551251065,141.175046959484,27.4606423119055
"413","Scenario 2",40,2,98.5186323659822,4.06870703059767,23.4002635403006,1.87392573137368,17.7495135701788,28.4609526489441,3.79292962153145,3.37621176750662,0.457310641442838,65.1790953730591,523.293734242145,141.131082361643,27.6332614630245
"414","Scenario 2",40,3,98.5307604371338,4.06873484585079,23.3998749637018,1.87397092417097,17.7488923721658,28.4615659605893,3.7929610292629,3.3763024095755,0.457328662480429,65.1896696805829,523.279525655961,141.03941064634,27.4312653231556
"415","Scenario 2",41,1,99.4093070543027,4.07078157382568,23.3694909226395,1.87683432863817,17.7081793518372,28.4970485277536,3.79504477062288,3.38150502834395,0.459117062760845,65.7152619933578,523.261191772009,142.23762353469,27.4616160386709
"416","Scenario 2",41,2,99.3629246752795,4.07067521021104,23.3709761065565,1.87666133234207,17.710668390505,28.494898902055,3.79492616795071,3.38119510721567,0.45904183795378,65.6862311905548,523.272148806315,142.188113662211,27.6157082992819
"417","Scenario 2",41,3,99.3703442819635,4.07069204469645,23.3707511830977,1.87669132836626,17.7102542279364,28.4953088311175,3.79494632491936,3.38125488041019,0.459050611860897,65.6946221592391,523.228695380014,142.07983242486,27.4065570064857
"418","Scenario 2",42,1,100.250172184452,4.07274229509093,23.340285060218,1.87955197763264,17.6696020887271,28.5307764499774,3.79703060286493,3.3864592488633,0.460847127119147,66.2507953956634,523.238805619794,143.280993013404,27.4616160386709
"419","Scenario 2",42,2,100.21004132253,4.07265060317015,23.3415464707853,1.87939796773538,17.6718126441701,28.5288432150561,3.79692614231967,3.38618101410629,0.46078647623607,66.223697127506,523.241814609379,143.227161799305,27.4413677383457
